,ID,has_business_account
0,567,False
1,523,True
2,544,True
3,370,True
4,756,True
5,929,True
6,373,False
7,818,True
8,284,True
9,621,True
10,404,False
11,763,False
12,327,True
13,664,True
14,590,True
15,24,True
16,931,True
17,400,False
18,905,True
19,556,True
20,673,True
21,537,True
22,616,False
23,422,True
24,73,True
25,466,True
26,363,True
27,291,True
28,326,True
29,483,True
30,563,True
31,838,True
32,740,True
33,216,True
34,302,True
35,236,False
36,36,True
37,606,True
38,716,True
39,471,True
40,158,True
41,986,False
42,841,True
43,342,True
44,210,True
45,778,True
46,441,True
47,782,True
48,424,False
49,566,True
50,789,False
51,301,True
52,583,True
53,268,True
54,608,False
55,407,True
56,67,False
57,296,True
58,669,True
59,316,False
60,624,False
61,643,False
62,703,True
63,653,True
64,864,False
65,163,True
66,472,False
67,900,True
68,749,False
69,155,True
70,355,True
71,767,False
72,805,True
73,493,False
74,577,True
75,196,False
76,213,False
77,221,True
78,456,False
79,127,False
80,330,True
81,546,True
82,446,True
83,194,False
84,808,True
85,361,True
86,83,False
87,979,True
88,41,False
89,995,True
90,144,True
91,820,True
92,177,True
93,340,True
94,709,False
95,250,True
96,964,False
97,515,True
98,26,False
99,587,False
100,133,False
101,103,True
102,478,True
103,835,True
104,633,True
105,769,True
106,399,True
107,555,True
108,580,True
109,137,True
110,118,False
111,397,False
112,332,True
113,165,True
114,741,False
115,307,True
116,380,True
117,713,False
118,978,False
119,944,True
120,349,False
121,240,False
122,287,True
123,54,True
124,711,True
125,3,True
126,64,False
127,630,False
128,926,True
129,335,False
130,889,True
131,375,True
132,980,False
133,438,True
134,297,True
135,350,True
136,597,True
137,804,True
138,480,True
139,170,True
140,800,False
141,500,True
142,91,True
143,550,True
144,707,True
145,251,False
146,419,True
147,600,True
148,162,True
149,885,True
150,61,True
151,723,True
152,299,True
153,843,True
154,699,True
155,286,True
156,246,True
157,917,True
158,427,False
159,414,False
160,431,True
161,484,True
162,839,True
163,727,True
164,132,False
165,947,True
166,936,True
167,256,True
168,569,False
169,668,True
170,851,True
171,229,True
172,761,True
173,313,True
174,650,True
175,27,True
176,374,True
177,294,True
178,65,True
179,996,True
180,13,True
181,45,True
182,691,False
183,344,True
184,99,True
185,822,True
186,775,False
187,510,False
188,765,True
189,888,True
190,615,False
191,463,False
192,842,True
193,46,False
194,116,True
195,141,False
196,758,True
197,626,False
198,369,True
199,172,True
200,447,True
201,725,True
202,881,True
203,193,True
204,681,False
205,455,True
206,998,True
207,672,True
208,679,True
209,963,True
210,217,True
211,152,True
212,766,False
213,647,True
214,801,True
215,356,True
216,11,True
217,232,True
218,377,True
219,15,True
220,311,True
221,477,True
222,661,False
223,937,True
224,865,True
225,933,False
226,279,False
227,667,True
228,581,False
229,212,True
230,184,True
231,579,True
232,140,True
233,200,True
234,506,True
235,786,True
236,175,True
237,884,True
238,315,True
239,489,True
240,274,True
241,244,True
242,444,False
243,308,True
244,53,True
245,999,True
246,823,False
247,514,True
248,259,True
249,830,False
250,443,False
251,675,True
252,909,True
253,945,True
254,32,False
255,153,True
256,797,True
257,16,True
258,832,True
259,848,True
260,809,True
261,957,True
262,329,True
263,425,False
264,687,False
265,810,True
266,814,True
267,588,False
268,880,True
269,613,False
270,821,True
271,639,True
272,519,True
273,787,True
274,457,True
275,43,True
276,243,True
277,693,True
278,107,False
279,192,True
280,706,True
281,920,True
282,197,False
283,833,True
284,146,False
285,348,True
286,389,True
287,806,True
288,620,False
289,528,True
290,752,True
291,55,True
292,367,False
293,617,True
294,940,True
295,501,True
296,721,False
297,751,True
298,989,True
299,656,True
300,410,True
301,927,False
302,168,True
303,48,True
304,906,True
305,166,True
306,730,True
307,74,False
308,303,False
309,164,False
310,205,True
311,258,True
312,593,True
313,732,True
314,676,True
315,239,True
316,295,True
317,347,True
318,187,True
319,508,False
320,62,True
321,649,True
322,573,False
323,858,True
324,420,True
325,870,True
326,648,True
327,872,True
328,625,True
329,827,True
330,343,True
331,728,True
332,50,True
333,434,True
334,701,False
335,836,True
336,819,False
337,225,True
338,539,True
339,934,False
340,754,True
341,97,True
342,124,True
343,844,True
344,646,False
345,697,True
346,265,False
347,394,True
348,975,True
349,604,True
350,318,False
351,976,True
352,110,False
353,726,True
354,353,True
355,918,False
356,384,False
357,714,True
358,757,False
359,651,True
360,574,True
361,364,True
362,607,True
363,576,True
364,331,True
365,982,False
366,877,False
367,993,True
368,974,True
369,450,True
370,60,False
371,139,True
372,690,True
373,33,False
374,189,True
375,850,True
376,644,True
377,715,True
378,540,False
379,507,True
380,368,False
381,674,True
382,663,True
383,224,True
384,811,True
385,591,False
386,795,True
387,69,True
388,429,True
389,824,False
390,992,False
391,119,True
392,257,False
393,883,False
394,228,True
395,285,True
396,966,False
397,660,True
398,860,True
399,781,False
400,912,True
401,437,False
402,724,False
403,406,False
404,234,True
405,924,True
406,109,True
407,628,True
408,304,False
409,403,True
410,190,False
411,504,False
412,476,False
413,896,True
414,610,True
415,202,False
416,930,True
417,882,True
418,747,False
419,346,True
420,1,False
421,764,False
422,612,False
423,376,True
424,894,True
425,105,True
426,645,True
427,520,True
428,956,True
429,994,True
430,261,True
431,666,False
432,405,True
433,486,True
434,557,True
435,642,True
436,98,False
437,392,True
438,759,True
439,731,False
440,81,True
441,534,True
442,475,False
443,913,True
444,631,False
445,665,False
446,879,True
447,988,True
448,2,False
449,473,False
450,527,True
451,93,True
452,337,True
453,973,True
454,106,False
455,474,True
456,352,True
457,694,True
458,916,True
459,366,True
460,866,True
461,262,True
462,856,False
463,494,False
464,737,True
465,479,True
466,426,True
467,941,True
468,892,True
469,108,False
470,914,True
471,654,False
472,720,True
473,338,False
474,211,False
475,351,False
476,84,True
477,481,True
478,112,True
479,319,True
480,17,False
481,408,True
482,468,True
483,218,False
484,126,False
485,77,True
486,423,False
487,700,False
488,35,True
489,901,True
490,252,True
491,678,False
492,495,True
493,817,True
494,895,True
495,863,True
496,897,True
497,867,True
498,874,False
499,467,False
500,689,True
501,619,True
502,89,True
503,185,True
504,203,True
505,129,True
506,490,True
507,592,True
508,215,False
509,522,True
510,869,True
511,745,True
512,47,True
513,10,True
514,388,True
515,171,False
516,582,True
517,743,True
518,362,True
519,248,True
520,161,True
521,828,True
522,266,True
523,499,False
524,638,False
525,206,True
526,430,True
527,156,True
528,696,True
529,275,True
530,554,True
531,138,True
532,771,False
533,68,False
534,902,True
535,748,True
536,887,False
537,641,False
538,558,False
539,34,True
540,548,True
541,513,True
542,415,True
543,776,True
544,722,True
545,409,True
546,482,True
547,387,True
548,20,True
549,113,True
550,207,True
551,959,True
552,923,True
553,278,True
554,632,False
555,12,False
556,128,True
557,310,True
558,503,True
559,735,True
560,712,True
561,903,True
562,92,True
563,199,True
564,176,True
565,553,True
566,95,False
567,94,True
568,736,True
569,111,True
570,662,False
571,201,False
572,531,True
573,290,True
574,950,True
575,436,True
576,584,False
577,40,True
578,922,False
579,785,True
580,596,True
581,22,True
582,977,True
583,135,True
584,150,True
585,8,True
586,18,True
587,323,True
588,946,True
589,886,True
590,142,True
591,191,True
592,260,True
593,448,True
594,768,False
595,853,False
596,862,False
597,382,True
598,178,False
599,816,True
600,280,True
601,117,False
602,454,True
603,143,True
604,859,False
605,223,True
606,571,True
607,321,False
608,306,True
609,812,True
610,182,False
611,594,False
612,70,True
613,30,True
614,686,True
615,971,True
616,312,True
617,336,False
618,31,True
619,565,True
620,293,True
621,159,False
622,568,True
623,75,False
624,37,True
625,78,True
626,852,True
627,79,False
628,541,False
629,4,True
630,837,True
631,970,True
632,788,False
633,807,True
634,779,False
635,412,True
636,241,True
637,1000,True
638,174,True
639,56,True
640,393,True
641,458,True
642,683,True
643,204,False
644,227,True
645,267,False
646,57,True
647,395,True
648,38,True
649,23,True
650,101,True
651,28,True
652,253,False
653,949,True
654,238,False
655,552,True
656,904,False
657,488,True
658,595,True
659,58,False
660,915,True
661,277,True
662,784,False
663,334,False
664,783,False
665,42,True
666,263,True
667,131,False
668,87,False
669,710,True
670,873,True
671,309,True
672,289,True
673,195,True
674,750,True
675,953,True
676,6,True
677,533,True
678,385,True
679,421,False
680,777,True
681,919,True
682,605,False
683,381,False
684,401,False
685,273,True
686,7,True
687,413,False
688,435,True
689,670,True
690,791,False
691,708,True
692,357,True
693,220,True
694,151,False
695,485,True
696,991,True
697,214,False
698,371,True
699,209,False
700,586,True
701,962,True
702,66,True
703,742,False
704,432,True
705,755,True
706,462,True
707,796,False
708,671,True
709,532,False
710,386,False
711,130,False
712,314,True
713,49,False
714,496,True
715,365,False
716,551,True
717,149,True
718,688,False
719,854,True
720,640,True
721,360,True
722,746,True
723,398,True
724,972,False
725,379,True
726,578,True
727,718,True
728,799,False
729,695,True
730,222,True
731,692,True
732,136,True
733,115,True
734,51,True
735,300,True
736,655,True
737,247,False
738,744,False
739,547,True
740,549,True
741,536,False
742,451,True
743,658,True
744,717,True
745,629,True
746,603,True
747,19,False
748,145,False
749,270,True
750,602,False
751,469,True
752,622,True
753,529,False
754,598,True
755,855,True
756,526,True
757,773,False
758,317,True
759,439,False
760,383,True
761,878,False
762,339,True
763,320,True
764,249,True
765,871,True
766,154,False
767,502,True
768,543,True
769,733,False
770,433,True
771,969,False
772,345,False
773,893,False
774,899,True
775,659,True
776,734,True
777,772,True
778,333,True
779,509,True
780,965,True
781,179,False
782,390,False
783,230,False
784,803,True
785,524,False
786,255,True
787,9,False
788,875,False
789,911,False
790,857,True
791,738,True
792,442,True
793,125,True
794,186,True
795,235,True
796,545,True
797,770,True
798,753,True
799,790,False
800,29,False
801,226,True
802,305,True
803,898,True
804,570,False
805,967,True
806,928,True
807,739,True
808,341,False
809,100,True
810,63,True
811,465,True
812,72,True
813,636,False
814,183,True
815,983,True
816,188,True
817,698,True
818,282,True
819,219,True
820,530,False
821,208,True
822,935,True
823,876,False
824,242,True
825,942,True
826,589,True
827,271,False
828,173,False
829,440,True
830,938,True
831,861,True
832,609,True
833,269,False
834,990,False
835,76,False
836,890,False
837,802,True
838,233,True
839,829,False
840,464,False
841,575,False
842,324,True
843,521,True
844,813,True
845,160,False
846,181,False
847,96,False
848,762,True
849,516,False
850,627,True
851,71,True
852,932,True
853,39,False
854,283,False
855,847,True
